City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,veinticinco de mayo,-35.4323,-60.1727,11.55,42,0,1.68,AR,1715264830
83,shalkar,47.8288,59.6258,15.64,28,44,8.84,KZ,1715264830
84,brisas de zicatela,15.8369,-97.0419,27.29,69,40,1.03,MX,1715264831
85,kiffa,16.6166,-11.4045,44.37,4,4,3.9,MR,1715264831
86,belyy yar,53.6039,91.3903,12.94,35,0,1.0,RU,1715264831
87,spasskoye,44.6108,132.7969,9.55,42,57,1.51,RU,1715264832
88,el jadid,33.2549,-8.506,22.66,59,100,4.17,MA,1715264832
89,alofi,-19.0595,-169.9187,24.94,83,75,3.09,NU,1715264833
90,hadibu,12.65,54.0333,30.41,64,83,0.72,YE,1715264833
91,salekhard,66.53,66.6019,-3.11,95,100,11.62,RU,1715264834
92,tofol,5.3248,163.0078,28.23,82,100,8.6,FM,1715264236
93,afaahiti,-17.75,-149.2833,22.93,75,85,6.41,PF,1715264835
94,gouyave,12.1646,-61.7296,30.43,70,20,6.17,GD,1715264835
95,north bay,46.3168,-79.4663,12.01,54,40,4.63,CA,1715264836
96,vila velha,-20.3297,-40.2925,31.09,84,40,2.57,BR,1715264569
97,laguna,38.421,-121.4238,18.16,44,0,4.12,US,1715264626
98,bredasdorp,-34.5322,20.0403,20.56,44,0,3.79,ZA,1715264837
99,haiku-pauwela,20.9219,-156.3051,22.25,87,0,3.13,US,1715264837
100,new norfolk,-42.7826,147.0587,12.18,97,100,0.96,AU,1715264838
101,nova sintra,14.8667,-24.7167,24.26,74,12,8.48,CV,1715264245
102,west island,-12.1568,96.8225,27.99,74,40,7.72,CC,1715264839
103,nadi,-17.8,177.4167,18.0,82,20,2.57,FJ,1715264280
104,talnakh,69.4865,88.3972,-8.63,93,6,0.63,RU,1715264840
105,tatarbunary,45.8373,29.6142,17.34,37,56,5.96,UA,1715264840
106,andalgala,-27.5819,-66.3165,16.72,38,17,2.3,AR,1715264841
107,rizokarpaso,35.6,34.375,21.93,64,87,4.21,CY,1715264841
108,tanjung pandan,-2.75,107.65,26.68,80,100,2.9,ID,1715264841
109,mount pearl,47.5166,-52.7813,9.07,69,75,6.17,CA,1715264662
110,lebu,-37.6167,-73.65,10.38,82,100,0.45,CL,1715264842
111,saldanha,-33.0117,17.9442,18.03,68,0,4.07,ZA,1715264843
112,ilulissat,69.2167,-51.1,-1.99,64,75,0.0,GL,1715264843
113,san julian,21.0167,-102.1667,23.84,16,3,2.17,MX,1715264844
114,iskateley,67.6803,53.1512,-1.66,95,100,11.62,RU,1715264844
115,avarua,-21.2078,-159.775,27.03,89,75,5.14,CK,1715264845
116,hasaki,35.7333,140.8333,11.22,49,0,7.54,JP,1715264845
117,el calafate,-50.3408,-72.2768,0.36,94,100,1.79,AR,1715264846
118,usogorsk,63.4106,48.6872,0.93,98,96,1.69,RU,1715264846
119,neftegorsk,52.802,51.166,5.77,56,100,3.76,RU,1715264847
120,devils lake,48.1128,-98.8651,12.19,70,0,3.6,US,1715264848
121,arraial do cabo,-22.9661,-42.0278,31.98,74,0,3.6,BR,1715264848
122,ketchikan,55.3422,-131.6461,8.26,100,100,5.14,US,1715264281
123,nuuk,64.1835,-51.7216,1.34,80,40,2.06,GL,1715264849
124,charlottetown,46.2352,-63.1267,7.1,96,100,6.17,CA,1715264277
125,jacksonville beach,30.2947,-81.3931,30.06,69,0,7.72,US,1715264850
126,turkmenabat,39.0733,63.5786,22.99,49,0,3.09,TM,1715264850
127,filadelfia,39.9523,-75.1638,19.6,64,100,4.12,US,1715264851
128,kirakira,-10.4544,161.9205,25.96,83,100,4.06,SB,1715264851
129,el bayadh,33.6832,1.0193,23.66,11,85,4.36,DZ,1715264852
130,college,64.8569,-147.8028,6.2,72,75,2.57,US,1715264852
131,verkhnyaya sinyachikha,57.976,61.6673,5.17,51,100,4.36,RU,1715264853
132,atafu village,-8.5421,-172.5159,29.09,73,91,1.77,TK,1715264853
133,minas de marcona,-15.2119,-75.1103,16.13,73,45,4.21,PE,1715264853
134,st. john's,47.5649,-52.7093,9.53,70,75,6.17,CA,1715264854
135,rongelap,11.1635,166.8941,26.93,80,78,8.92,MH,1715264854
136,fale old settlement,-9.3852,-171.2468,28.77,74,80,1.77,TK,1715264855
137,turabah,21.2141,41.6331,35.72,10,2,2.12,SA,1715264855
138,arkhangel'sk,64.5401,40.5433,-1.61,78,100,8.0,RU,1715264856
139,enewetak,11.3474,162.3373,27.31,72,79,9.43,MH,1715264856
140,susuman,62.7833,148.1667,-0.57,86,83,1.79,RU,1715264857
141,murzuq,25.9155,13.9184,33.16,13,95,6.97,LY,1715264857
142,chonchi,-42.6128,-73.8092,7.84,84,69,2.6,CL,1715264858
143,beipiao,41.7919,120.7792,18.98,30,62,5.49,CN,1715264858
144,kingston,17.997,-76.7936,31.2,70,20,3.09,JM,1715264561
145,ust'-kalmanka,52.1207,83.305,17.73,60,98,4.88,RU,1715264859
146,utrik,11.2278,169.8474,27.0,77,99,8.71,MH,1715264860
147,tralee,52.2704,-9.7026,20.14,52,20,5.14,IE,1715264860
148,lamarque,-39.423,-65.7021,11.77,30,100,7.48,AR,1715264861
149,anar darah,32.7587,61.654,24.87,44,0,7.9,AF,1715264862
150,kodiak,57.79,-152.4072,-4.27,93,0,1.54,US,1715264862
151,arawa,-6.2132,155.5367,25.2,96,100,0.86,PG,1715264863
152,yellowknife,62.456,-114.3525,9.29,53,40,4.12,CA,1715264824
153,nurota,40.5614,65.6886,15.15,89,100,4.56,UZ,1715264864
154,port alfred,-33.5906,26.891,21.77,86,6,0.45,ZA,1715264864
155,ballina,-28.8667,153.5667,15.43,59,90,4.83,AU,1715264865
156,fortuna,40.5982,-124.1573,8.7,100,0,5.66,US,1715264865
157,galesong,-5.3166,119.3661,26.01,82,62,1.94,ID,1715264866
158,kharp,66.8014,65.8081,-3.49,94,100,10.97,RU,1715264867
159,wailua homesteads,22.0669,-159.378,20.44,90,75,3.6,US,1715264867
160,port douglas,-16.4833,145.4667,23.48,83,100,4.44,AU,1715264868
161,richards bay,-28.783,32.0377,29.26,46,0,5.78,ZA,1715264868
162,saipan,15.1355,145.701,29.39,79,40,5.66,MP,1715264869
163,kayangel,8.0823,134.7173,28.3,80,24,4.67,PW,1715264869
164,zyryanskoye,56.8306,86.6258,11.17,50,99,2.9,RU,1715264870
165,waddan,29.1614,16.139,27.71,27,0,5.93,LY,1715264870
166,kone,-21.0595,164.8658,18.27,78,21,1.44,NC,1715264871
167,seosan,36.7817,126.4522,11.7,90,0,3.83,KR,1715264871
168,laascaanood,8.4774,47.3597,34.67,27,100,2.66,SO,1715264872
169,antonio enes,-16.2325,39.9086,27.59,64,5,4.96,MZ,1715264872
170,anzio,41.4853,12.6179,26.5,76,100,6.43,IT,1715264873
171,kruisfontein,-34.0033,24.7314,20.49,60,0,4.08,ZA,1715264873
172,punta arenas,-53.15,-70.9167,4.06,81,75,3.6,CL,1715264874
173,farafangana,-22.8167,47.8333,23.67,83,21,4.64,MG,1715264874
174,stanley,54.868,-1.6985,20.71,62,20,5.14,GB,1715264875
175,vila franca do campo,37.7167,-25.4333,19.23,99,100,2.6,PT,1715264875
176,comodoro rivadavia,-45.8667,-67.5,6.92,76,0,1.03,AR,1715264876
177,westport,41.1415,-73.3579,19.94,55,0,6.17,US,1715264810
